Section,Phrases,Measures,Notes,Duration,Syllables
1.01,0,13,49,90,27
2.01,0,12,21,48,16
2.02,0,6,12,24,8
2.03,0,6,7,24,7
2.04,0,6,9,24,8
2.05,0,11,23,44,16
3.01,0,8,26,64,16
3.02,0,23,84,182,41
4.01,0,6,22,48,17
4.02,0,8,28,62,20
4.03,0,9,30,70,21
5.01,0,23,60,180,47
5.02,0,4,9,30,18
5.03,0,4,8,32,16
5.04,0,6,14,44,14
6.01,0,28,46,102,40
6.02,0,12,19,44,34
6.03,0,12,28,46,15
7.01,0,27,54,210,38
7.02,0,12,20,96,32
7.03,0,12,20,96,16
8.01,0,6,16,48,16
8.02,0,7,21,56,16
8.03,0,13,47,102,26
9.01,0,6,18,48,16
9.02,0,6,17,46,16
9.03,0,14,45,114,24
10.01,0,9,26,68,17
10.02,0,12,40,90,21
10.03,0,8,20,56,32
10.04,0,10,31,74,17
11.01,0,8,22,58,16
11.02,0,26,81,196,46
12.01,0,12,44,88,36
13.01,0,20,39,70,32
14.01,0,34,44,128,30
15.01,0,17,29,128,28
15.02,0,13,24,100,21
16.01,0,16,31,112,24
16.02,0,15,27,108,24
17.01,0,19,32,72,25
18.01,0,13,53,92,32
19.01,0,6,21,46,17
19.02,0,6,24,48,16
19.03,0,3,9,22,9
19.04,0,8,31,62,16
19.05,0,9,17,70,9
20.01,0,8,18,62,16
20.02,0,8,23,60,16
20.03,0,18,49,140,32
21.01,0,6,21,48,16
21.02,0,9,22,64,21
21.03,0,7,16,64,8
22.01,0,6,22,46,17
22.02,0,6,20,48,16
22.03,0,11,36,90,27
23.01,0,6,21,96,19
23.02,0,6,20,96,18
23.03,0,16,36,256,19
24.01,0,6,20,48,17
24.02,0,3,9,24,8
24.03,0,3,9,24,8
24.04,0,3,11,24,9
24.05,0,14,35,106,23
25.01,0,6,19,46,17
25.02,0,3,9,24,8
25.03,0,7,20,40,8
25.04,0,3,10,22,9
25.05,0,6,18,48,8
26.01,0,8,19,64,16
26.02,0,9,21,72,16
26.03,0,12,31,94,21
27.01,0,6,20,48,17
27.02,0,8,25,64,18
27.03,0,16,42,126,27
28.01,0,16,33,120,28
28.02,0,15,58,120,37
29.01,0,7,26,54,16
29.02,0,6,22,48,16
29.03,0,11,39,86,21
30.01,0,1,134,540,89
31.01,0,8,26,58,17
31.02,0,10,32,74,17
31.03,0,16,62,120,21
32.01,0,8,20,124,18
32.02,0,8,26,124,17
32.03,0,21,50,328,34
33.01,0,8,27,62,18
33.02,0,4,12,30,9
33.03,0,4,10,32,8
33.04,0,4,11,32,9
33.05,0,4,12,32,8
33.06,0,10,29,78,18
34.01,0,22,63,156,44
35.01,0,6,24,48,32
35.02,0,7,29,56,16
35.03,0,12,46,98,28
36.01,0,12,36,188,32
36.02,0,6,19,92,32
36.03,0,6,19,88,16
37.01,0,13,53,216,32
37.02,0,3,8,48,16
37.03,0,7,28,120,16
38.01,0,1,81,228,53
38.02,0,1,26,76,20
39.01,0,6,24,96,34
39.02,0,6,22,96,16
39.03,0,19,62,300,37
40.01,0,33,95,230,59
41.01,0,6,27,96,16
41.02,0,6,23,96,16
41.03,0,8,33,128,16
42.01,0,16,53,252,39
42.02,0,6,23,96,32
42.03,0,6,18,96,16
43.01,0,21,65,328,68
44.01,0,18,43,142,32
44.02,0,10,23,84,22
45.01,0,6,26,96,17
45.02,0,6,16,96,16
45.03,0,9,36,152,17
46.01,0,13,45,180,36
47.01,0,14,38,112,38
48.01,0,17,31,66,26
49.01,0,9,37,58,28
50.01,0,9,31,116,26
51.01,0,10,38,94,34
52.01,0,20,30,74,26
53.01,0,9,33,58,25
54.01,0,18,64,304,52
55.01,0,13,53,100,41
56.01,0,12,26,96,15
56.02,0,22,42,172,30
57.01,0,6,21,48,17
57.02,0,10,38,80,25
57.03,0,9,38,88,22
58.01,0,6,20,92,16
58.02,0,7,23,112,17
58.03,0,9,32,140,20
59.01,0,6,18,96,17
59.02,0,12,37,192,33
59.03,0,11,32,172,8
60.01,0,6,22,48,20
60.02,0,7,22,54,16
60.03,0,13,45,104,25
61.01,0,25,43,100,21
61.02,0,18,33,68,18
61.03,0,25,36,96,33
61.04,0,19,34,72,18
61.05,0,28,46,112,20
62.01,0,24,39,88,36
